code,precision,recall,f1-score,support
samples avg,0.4721157568718544,0.508562395147761,0.4702385778665071,1019.0
weighted avg,0.5899533417482945,0.5593719332679097,0.5339154778331955,1019.0
macro avg,0.362536412451759,0.3229087179183281,0.3021977252111553,1019.0
micro avg,0.521978021978022,0.5593719332679097,0.5400284225485552,1019.0
100,0.5683453237410072,0.8777777777777778,0.6899563318777293,90.0
1900,0.803030303030303,0.7910447761194029,0.7969924812030075,67.0
107,0.6190476190476191,0.8478260869565217,0.7155963302752294,46.0
1910,0.8709677419354839,0.627906976744186,0.7297297297297297,43.0
105,0.410958904109589,0.7317073170731707,0.5263157894736842,41.0
200,0.49230769230769234,0.7804878048780488,0.6037735849056604,41.0
300,0.8,0.5,0.6153846153846154,40.0
500,0.6153846153846154,0.21052631578947367,0.3137254901960784,38.0
1200,0.8076923076923077,0.6363636363636364,0.711864406779661,33.0
230,0.7777777777777778,0.6774193548387096,0.7241379310344828,31.0
2000,0.5416666666666666,0.43333333333333335,0.48148148148148145,30.0
1300,0.3246753246753247,0.9259259259259259,0.4807692307692308,27.0
1600,0.8888888888888888,0.6153846153846154,0.7272727272727273,26.0
1400,0.7368421052631579,0.6363636363636364,0.6829268292682927,22.0
301,0.45,0.47368421052631576,0.46153846153846156,19.0
700,0.7222222222222222,0.7222222222222222,0.7222222222222222,18.0
2012,0.46153846153846156,0.35294117647058826,0.4,17.0
325,0.6666666666666666,0.11764705882352941,0.2,17.0
600,0.8461538461538461,0.6470588235294118,0.7333333333333333,17.0
705,0.6666666666666666,0.625,0.6451612903225806,16.0
529,0.75,0.1875,0.3,16.0
1303,0.6428571428571429,0.6428571428571429,0.6428571428571429,14.0
1302,0.1956521739130435,0.6923076923076923,0.3050847457627119,13.0
1920,0.875,0.6363636363636364,0.7368421052631579,11.0
1211,0.5,0.2,0.2857142857142857,10.0
1209,0.4666666666666667,0.7777777777777778,0.5833333333333334,9.0
1610,0.625,0.5555555555555556,0.5882352941176471,9.0
1930,0.5,0.2222222222222222,0.3076923076923077,9.0
2001,0.5,0.1111111111111111,0.18181818181818182,9.0
601,0.8333333333333334,0.625,0.7142857142857143,8.0
602,0.5714285714285714,0.5,0.5333333333333333,8.0
1800,0.6666666666666666,0.5,0.5714285714285714,8.0
1401,0.2857142857142857,0.5,0.36363636363636365,8.0
1926,0.42857142857142855,0.75,0.5454545454545454,8.0
1627,0.75,0.375,0.5,8.0
800,1.0,0.2857142857142857,0.4444444444444444,7.0
1410,1.0,0.2857142857142857,0.4444444444444444,7.0
1608,0.8,0.5714285714285714,0.6666666666666666,7.0
108,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.0
202,1.0,0.5,0.6666666666666666,6.0
1000,1.0,0.5,0.6666666666666666,6.0
1803,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
1406,0.0,0.0,0.0,6.0
101,0.25,0.6,0.35294117647058826,5.0
1500,0.0,0.0,0.0,5.0
201,0.1,0.6,0.17142857142857143,5.0
1208,1.0,0.2,0.3333333333333333,5.0
503,0.0,0.0,0.0,5.0
505,1.0,0.2,0.3333333333333333,5.0
1205,0.7142857142857143,1.0,0.8333333333333334,5.0
1207,0.5,0.25,0.3333333333333333,4.0
1909,0.0,0.0,0.0,4.0
103,0.5,0.5,0.5,4.0
508,0.0,0.0,0.0,4.0
400,1.0,0.25,0.4,4.0
1006,0.0,0.0,0.0,3.0
502,0.0,0.0,0.0,3.0
603,0.0,0.0,0.0,3.0
506,0.0,0.0,0.0,3.0
504,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
806,1.0,0.6666666666666666,0.8,3.0
2011,0.1,0.3333333333333333,0.15384615384615385,3.0
1609,0.0,0.0,0.0,3.0
1521,0.0,0.0,0.0,3.0
803,1.0,0.3333333333333333,0.5,3.0
1202,0.1,0.3333333333333333,0.15384615384615385,3.0
401,0.0,0.0,0.0,2.0
344,0.0,0.0,0.0,2.0
334,0.0,0.0,0.0,2.0
207,0.0,0.0,0.0,2.0
331,0.0,0.0,0.0,2.0
604,0.0,0.0,0.0,2.0
1901,0.3333333333333333,1.0,0.5,2.0
2032,0.0,0.0,0.0,2.0
1806,0.0,0.0,0.0,2.0
1001,0.3333333333333333,0.5,0.4,2.0
1206,0.0,0.0,0.0,2.0
807,0.0,0.0,0.0,2.0
1005,0.5,0.5,0.5,2.0
1305,0.0,0.0,0.0,2.0
1603,0.2,0.5,0.2857142857142857,2.0
208,0.0,0.0,0.0,1.0
104,0.0,0.0,0.0,1.0
321,0.0,0.0,0.0,1.0
332,0.0,0.0,0.0,1.0
399,0.0,0.0,0.0,1.0
408,0.0,0.0,0.0,1.0
406,0.0,0.0,0.0,1.0
703,0.0,0.0,0.0,1.0
701,0.0,0.0,0.0,1.0
606,0.0,0.0,0.0,1.0
1409,0.0,0.0,0.0,1.0
805,0.0,0.0,0.0,1.0
1002,0.0,0.0,0.0,1.0
1003,1.0,1.0,1.0,1.0
1203,0.3333333333333333,1.0,0.5,1.0
709,0.0,0.0,0.0,1.0
1407,0.0,0.0,0.0,1.0
1304,0.1111111111111111,1.0,0.2,1.0
801,0.0,0.0,0.0,1.0
1501,0.0,0.0,0.0,1.0
1524,0.0,0.0,0.0,1.0
1907,0.0,0.0,0.0,1.0
1911,0.0,0.0,0.0,1.0
