,party,year,no_debates,Health_prop_words,Macroeconomics_prop_words,Social_Welfare_prop_words,Immigration_net_stance,Low_Income_Assistance_net_stance,Taxation_net_stance
0,Brexit Party,2019,2,0.0357142857142857,0.19132991265605365,0.1618750050876017,-0.5,-0.25,0.5
1,Conservative,2005,2,0.12464361435926766,0.39085141095076403,0.06774579562808605,-0.25,1.0,-0.06730769230769232
2,Conservative,2010,3,0.048841541506578164,0.5245920959228476,0.26451774094949043,-1.0,0.3481481481481481,-0.4444444444444444
3,Conservative,2015,3,0.163869569950311,0.6633477023284619,0.30870324497419716,-0.6666666666666666,0.4365079365079365,-0.3888888888888889
4,Conservative,2017,5,0.09119416613326439,0.3595427367347314,0.22160705521695956,0.0,0.52,0.2
5,Conservative,2019,6,0.09742207180378583,0.4648569065641701,0.18390837507825497,-0.5,0.8333333333333334,-0.055555555555555546
6,Conservative,2024,8,0.10757542089776811,0.5096416943538835,0.1542973948196483,-0.8446428571428571,0.5,-0.30376984126984125
7,Green,2015,2,0.13491547129705295,0.5674940428102209,0.5086580931284522,-1.0,0.6,0.0
8,Green,2017,3,0.19444228301754907,0.4119389792834372,0.35243303511940455,-0.8333333333333334,0.0,-0.7777777777777777
9,Green,2019,3,0.07138190221422466,0.35542188597869173,0.10943129014441104,-0.3333333333333333,1.0,0.0
10,Green,2024,4,0.08269515788472256,0.3796306427791852,0.4689543152633252,-0.75,0.875,0.5
11,Labour,2005,2,0.15744354301391333,0.2858597687634724,0.0640054869684499,-0.4166666666666667,1.0,-0.5
12,Labour,2010,3,0.046478873239436606,0.5089694258361845,0.2515255521451028,-1.0,0.4166666666666667,-0.75
13,Labour,2015,4,0.09326441500477314,0.5479012567837628,0.14863011869489107,-0.625,0.05,0.2
14,Labour,2017,4,0.08501202919767807,0.48953957471141746,0.2574995688618671,-0.375,0.625,0.16666666666666669
15,Labour,2019,6,0.09708450252634859,0.4528132382524305,0.28364772554233825,-0.3333333333333333,0.5277777777777778,-0.36111111111111116
16,Labour,2024,10,0.18775668407797935,0.47927416042461746,0.2407731661072771,-0.465,0.6849999999999999,0.40166666666666667
17,Liberal Democrat,2005,2,0.0036891293654697,0.30634526290442793,0.09950675634109125,0.0,0.75,0.33333333333333337
18,Liberal Democrat,2010,3,0.0373063734184699,0.4563738783048105,0.21474541985381798,-0.9444444444444445,0.9047619047619048,-0.14814814814814817
19,Liberal Democrat,2015,2,0.07405121875964205,0.6383185609004729,0.30522807823087145,-0.5,0.3,0.0
20,Liberal Democrat,2017,3,0.13726685925863089,0.5158300920982081,0.20962177942921886,-0.6666666666666666,0.5555555555555555,0.06666666666666667
21,Liberal Democrat,2019,5,0.0639059962747158,0.30904466862184293,0.1784255521441385,0.0,0.8,-0.13333333333333336
22,Liberal Democrat,2024,2,0.10215686403287924,0.46364184665770536,0.3079849906519959,-0.5,0.5833333333333333,1.0
23,Plaid Cymru,2015,2,0.04678040726472205,0.6824232279154472,0.5158844142261052,-0.5,0.6666666666666666,0.0
24,Plaid Cymru,2017,1,0.0,0.7134481495053133,0.3521436423598387,0.0,0.7142857142857143,-1.0
25,Plaid Cymru,2019,4,0.10942447934724822,0.390870223999393,0.0963157191060027,-0.25,1.0,0.25
26,Plaid Cymru,2024,3,0.06745367985447366,0.5273852472319475,0.2711344421195157,-0.6666666666666666,0.4444444444444444,0.3333333333333333
27,Reform UK,2024,4,0.06778894876740504,0.42209722127855454,0.13575652523309753,-0.96875,0.41666666666666663,0.5
28,SNP,2015,2,0.0175438596491228,0.5835281336259607,0.32062120996970067,-0.5,1.0,0.0
29,SNP,2017,4,0.09371359179419153,0.3798461788128724,0.3516816702014847,-0.5,0.7291666666666666,-0.16666666666666669
30,SNP,2019,5,0.06302261949833862,0.33413565982330884,0.16796701092466707,0.0,0.33333333333333337,-0.2
31,SNP,2024,5,0.06402482371860524,0.5130395531605558,0.2622621081728185,-0.4,0.38666666666666666,-0.2
32,UKIP,2015,2,0.0777532815644,0.5586166165615618,0.14126487457466005,-1.0,0.0,-0.5
33,UKIP,2017,3,0.04993777216079146,0.40619123635762433,0.18755216186444248,-0.8888888888888888,0.8666666666666667,-0.25
